location,timestamp,day,pressure,maxtemp,temparature,mintemp,dewpoint,humidity,cloud,sunshine,winddirection,windspeed
beijing,2025-04-26 00:12:35,116,1009.698667001593,24.54986710165804,20.522934473778246,19.452661653137593,12.207492306235677,68.1231231689499,44.035268330599294,5.794788257823583,219.39232418350437,10.897576037437625
beijing,2025-04-26 00:12:35,116,1013.6694749613919,20.80328624256882,19.29435174910319,16.768835282310008,14.181851991832108,38.7256670041953,39.786460143443634,7.737478726650711,161.01838799189835,16.00055279420369
beijing,2025-04-26 00:15:12,116,1013.3034528320718,20.782528336892888,23.34922253772536,21.021529274436126,14.103096622711378,77.29446672767806,33.07589608033484,3.728848022199048,210.88714135774586,13.91330073634843
beijing,2025-04-26 00:15:13,116,1011.0597452173919,24.296932952554062,19.880761179932136,19.774086947117983,18.90470656427789,78.59933057662876,66.98962966971257,6.6212361561258515,191.83879267339876,17.744924641836967
beijing,2025-04-26 00:44:10,116,1013.7031398941691,28.95169288714123,23.286539220713205,23.70621179723741,13.85899722921242,61.76458995227402,70.74966962813711,6.094072405071459,144.54349536520104,6.571194145047269
beijing,2025-04-26 00:44:10,116,1013.1615340404121,20.708536882062653,24.31455136323061,18.68112019268194,17.16209862491517,65.93578161614066,42.8962924544721,6.681043556686069,150.6538818193518,7.677811443068416
beijing,2025-04-26 01:25:19,116,1008.1067639355783,21.580416814616235,22.388962602682433,15.079835524968322,18.603522798517606,71.94583604353588,5.314491899877716,5.792200728874456,147.77868969439749,8.813581942001194
beijing,2025-04-26 01:25:19,116,1013.2166580211402,26.4258869164344,22.37647673725492,20.996205349655565,15.3915673521187,60.28680412002683,71.94527530191533,7.145116404528012,215.60701100085228,13.98138757955893
beijing,2025-04-26 01:41:45,116,1019.5896349815755,24.311868445666608,20.692221398406602,16.435705935723565,13.079435771738085,76.76506241962772,5.980262365215339,10.220869018957005,179.64933182767365,9.843345864192914
beijing,2025-04-26 01:41:46,116,1011.4621832835102,31.59695504750738,23.289631770669942,18.0005540913528,12.744014099804424,83.58931171241876,15.117956871015132,9.713718233234744,149.83441261778538,17.65315607678548
